left_x_m,left_y_m,right_x_m,right_y_m
145.57564429696367,10.6103273098553,150.42435570303633,9.3896726901447
147.09582530091993,22.02929753541811,152.0957940366342,22.01161585337563
145.71988314798185,31.974520358027874,150.50628416136905,33.42032993713778
141.759017225159,40.05910008982337,145.8158647057124,42.981768137947775
135.61500643421604,46.192427445416584,138.55923912731672,50.23365174615482
127.7058787312934,50.44837748057676,129.5244913942851,55.105914166637994
118.51874825040348,53.03613337736087,119.47094219731078,57.94462873617228
108.54481114609634,54.365546893533896,108.97558987775817,59.34695529722334
98.14721479358055,55.018578290265104,98.39890641990335,60.01223940464191
87.49344202528796,55.64057731243767,87.86903970897582,60.62644999232114
76.56963263671935,56.81092237467522,77.28114428816218,61.760038575560095
65.23718250885737,58.91893390065167,66.34650544878996,63.794321332942495
53.28912855278064,62.08138231693317,54.710871447219375,66.87498713399026
40.51941337232892,66.13529126321689,42.09224068414074,70.88147017337386
26.823508838920983,70.68568947402665,28.376471882675762,75.43840509614543
12.290965687141385,75.17968084326998,13.668839458233995,79.98607906552903
-2.7508137616517696,79.00181822813764,-1.6892270306441408,83.88782207714846
-17.75084143343702,81.58232876086959,-17.144418070699725,86.54541758791333
-31.99999999999999,82.5,-31.99999999999999,87.5
-44.734838652424585,81.56174257813944,-45.518961746290486,86.49987491472848
-55.2655744881219,78.84675392086261,-57.03901376410789,83.52167778488332
-63.1211605467912,74.70309659476385,-66.06180239829354,78.74693456149706
-68.20120138670958,69.65459762453511,-72.28233478440538,72.54325651582221
-70.82085981501008,64.1740609755285,-75.63711718130374,65.51706692548629
-71.50045144918187,58.544930949123106,-76.49954855081813,58.449914274734034
-70.81503006663908,53.00134437893775,-75.70695519214078,51.96738665906468
-69.46269103622649,47.73147818610791,-74.27994010200945,46.39203373477247
-68.24692807611369,42.6998375926384,-73.17442816119582,41.8514609595823
-68.06252216130522,37.655594530351216,-73.02252545717118,38.28675798382337
-69.69026909251232,32.667303866517955,-74.10408080341338,35.01640288118564
-73.10714536824469,27.87053711027915,-76.8825450794696,31.148700776187688
-77.9805233984238,22.825236318320215,-81.46239829035628,26.413626937655046
-83.9242203931728,17.130935352614053,-87.39725033718865,20.727887257765033
-90.35766728546058,10.66244076250271,-93.99405684570142,14.094156217806583
-96.57407177524044,3.5534945471116606,-100.47668587123775,6.679130997136393
-101.87634063813684,-3.8396658187585926,-106.10734429351965,-1.1753445040262125
-105.70644711193835,-10.99479402373758,-110.29355288806165,-9.005205976262403
-107.75160950399346,-17.2991048090138,-112.655389592584,-16.322917919764112
-108.04260140378962,-22.14387667997215,-113.00815624268857,-22.729765015653346
-107.05173125288468,-25.15578804813144,-111.24111837523171,-27.8850801796397
-105.33245260131221,-26.690779941100555,-107.5582375107023,-31.16804266927849
-102.76857426925258,-27.299465947722695,-103.03878708140277,-32.292159112353374
-99.41646742715399,-27.04542846405224,-98.57322302056026,-31.973809422414572
-95.64401385303356,-26.23006587307394,-94.51477570476746,-31.100879070528812
-91.58302437834054,-25.484306767464762,-91.07124262178895,-30.458045746709747
-87.14702342901717,-25.691258193011134,-88.21545830524667,-30.57576911174767
-82.5612976562728,-27.611963247126653,-85.18133348196314,-31.870532522376166
-77.79631912545717,-31.311148002460822,-81.14898029824373,-35.0205499839788
-72.22158258549742,-36.74037067763806,-75.77841741450261,-40.25447454621901
-65.26210427149033,-43.74682899086962,-68.77255855990259,-47.30726585858233
-56.57889796192161,-51.91164023097254,-59.904638209193465,-55.64519775800707
-46.097905395862405,-60.60034864263754,-49.143932052268035,-64.56541126616146
-34.02333313511287,-69.07643987290821,-36.71203573546385,-73.29199183283775
-20.81506315628107,-76.62418907823323,-23.074297580558785,-81.08466661053384
-7.122191396029062,-82.6591770560774,-8.877808603971022,-87.3408229439226
6.319676529375036,-86.80968339336464,5.149503628363346,-91.67082475951908
18.81085124085076,-88.95697870796303,18.318327348506273,-93.93266159732303
29.80994130818738,-89.2289681022645,30.090989334142176,-94.22106305399637
39.037693939393776,-87.94661145040341,40.1622867822028,-92.81849927114628
46.54270432504076,-85.52476684605858,48.4922638963498,-90.12902764209494
52.696570035347825,-82.344860950868,55.3034299646522,-86.61150850005544
58.093982669360784,-78.66487127661217,61.066391123365534,-82.68541700854472
63.404310305151846,-74.62197210948884,66.44646661972965,-78.59000499212405
69.24210157679536,-70.25246294245238,72.17925466051409,-74.29883560976833
76.07674288341502,-65.45213949252823,78.9001589484158,-69.57867820237885
84.17407371593951,-59.96404667564899,86.98188764603962,-64.10121731920913
93.5376150273303,-53.45900709948292,96.45207542038386,-57.521755014050356
103.87000764555097,-45.64956949735535,106.99592281815208,-49.55196034575868
114.59427813723468,-36.38768117992422,118.01074804264482,-40.03839801164738
124.93547666681395,-25.73199104404576,128.6982797671032,-29.024605936263445
134.04195671119908,-13.976762371867586,138.18421059815182,-16.77707177192054
141.12229569898142,-1.6370442012954505,145.6460094736517,-3.7668361359355917
